Kernel:sigmoid | Gamma:0.1 e C:100 | Accuracy: 42.11% | channel: ['E127']| count: 19
Kernel:sigmoid | Gamma:0.001 e C:1000 | Accuracy: 44.74% | channel: ['E127']| count: 20
Kernel:linear | Gamma:1 e C:100 | Accuracy: 42.11% | channel: ['E127']| count: 21
Kernel:linear | Gamma:1e-06 e C:100 | Accuracy: 44.74% | channel: ['E127']| count: 22
Kernel:rbf | Gamma:0.01 e C:100 | Accuracy: 42.11% | channel: ['E127']| count: 23
Kernel:linear | Gamma:10 e C:100 | Accuracy: 44.74% | channel: ['E127']| count: 24
Kernel:linear | Gamma:1e-06 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 25
Kernel:poly | Gamma:1 e C:10 | Accuracy: 42.11% | channel: ['E127']| count: 26
Kernel:rbf | Gamma:0.01 e C:100 | Accuracy: 44.74% | channel: ['E127']| count: 27
Kernel:linear | Gamma:10 e C:1 | Accuracy: 47.37% | channel: ['E127']| count: 28
Kernel:linear | Gamma:1e-05 e C:1 | Accuracy: 42.11% | channel: ['E127']| count: 29
Kernel:linear | Gamma:1e-05 e C:1000 | Accuracy: 44.74% | channel: ['E127']| count: 30
Kernel:rbf | Gamma:0.1 e C:1000 | Accuracy: 47.37% | channel: ['E127']| count: 31
Kernel:linear | Gamma:0.1 e C:1 | Accuracy: 42.11% | channel: ['E127']| count: 32
Kernel:linear | Gamma:1 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 33
Kernel:linear | Gamma:1e-05 e C:10 | Accuracy: 44.74% | channel: ['E127']| count: 34
Kernel:poly | Gamma:10 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 35
Kernel:sigmoid | Gamma:0.001 e C:1000 | Accuracy: 42.11% | channel: ['E127']| count: 36
